id,company_name,book_value,roe_percentage,roce_percentage,market_cap_crore,pe_ratio,pb_ratio
ABB,Abbott India Ltd,1657.0,34.9,46.0,844312.98,19.29,14.26
ABB,Abbott India Ltd,1657.0,34.9,46.0,923674.33,67.54,13.03
ABB,Abbott India Ltd,1657.0,34.9,46.0,1020674.09,62.63,6.67
ABB,Abbott India Ltd,1657.0,34.9,46.0,1161513.28,58.34,12.72
ABB,Abbott India Ltd,1657.0,34.9,46.0,1185994.82,18.68,4.75
ABB,Abbott India Ltd,1657.0,34.9,46.0,1536236.24,75.58,4.48
ADANIENSOL,Adani Energy Solutions Ltd,175.0,8.59,9.0,171905.69,76.72,12.85
ADANIENSOL,Adani Energy Solutions Ltd,175.0,8.59,9.0,217135.25,35.93,9.79
ADANIENSOL,Adani Energy Solutions Ltd,175.0,8.59,9.0,263283.51,28.96,13.96
ADANIENSOL,Adani Energy Solutions Ltd,175.0,8.59,9.0,275655.59,59.65,14.71
ADANIENSOL,Adani Energy Solutions Ltd,175.0,8.59,9.0,306303.52,71.21,6.44
ADANIENSOL,Adani Energy Solutions Ltd,175.0,8.59,9.0,348517.36,58.5,9.05
ADANIENT,Adani Enterprises Ltd,363.0,13.64,11.6,173718.83,56.08,5.69
ADANIENT,Adani Enterprises Ltd,363.0,13.64,11.6,186771.02,56.13,9.8
ADANIENT,Adani Enterprises Ltd,363.0,13.64,11.6,187927.97,58.87,10.41
ADANIENT,Adani Enterprises Ltd,363.0,13.64,11.6,196563.95,65.7,5.32
ADANIENT,Adani Enterprises Ltd,363.0,13.64,11.6,205258.66,72.59,8.25
ADANIENT,Adani Enterprises Ltd,363.0,13.64,11.6,217309.44,36.71,2.39
ADANIGREEN,Adani Green Energy Ltd,67.0,14.7,96.5,449015.01,9.89,6.92
ADANIGREEN,Adani Green Energy Ltd,67.0,14.7,96.5,485373.12,29.07,10.49
ADANIGREEN,Adani Green Energy Ltd,67.0,14.7,96.5,495446.05,37.61,5.59
ADANIGREEN,Adani Green Energy Ltd,67.0,14.7,96.5,510512.78,45.26,6.24
ADANIGREEN,Adani Green Energy Ltd,67.0,14.7,96.5,517543.72,72.14,14.91
ADANIGREEN,Adani Green Energy Ltd,67.0,14.7,96.5,519085.0,17.73,4.85
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",265.0,18.1,12.9,611152.14,77.47,0.9
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",265.0,18.1,12.9,634603.85,29.48,7.65
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",265.0,18.1,12.9,675598.01,48.9,2.31
