id,company_name,roe_percentage,roce_percentage,market_cap_crore,pe_ratio,pb_ratio,roe,roa,debt_equity,sales_cagr,profit_cagr
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.1997,0.1341,1.4895,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2134,0.1578,1.3523,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2241,0.153,1.4646,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2241,0.1599,1.4019,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2369,0.166,1.4271,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2439,0.1672,1.4591,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2444,0.1667,1.4664,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2513,0.1738,1.4454,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2656,0.1799,1.4758,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2833,0.1892,1.4979,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.2977,0.2083,1.4291,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,844312.98,19.29,14.26,0.3247,0.2313,1.4039,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.1997,0.1341,1.4895,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2134,0.1578,1.3523,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2241,0.153,1.4646,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2241,0.1599,1.4019,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2369,0.166,1.4271,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2439,0.1672,1.4591,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2444,0.1667,1.4664,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2513,0.1738,1.4454,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2656,0.1799,1.4758,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2833,0.1892,1.4979,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.2977,0.2083,1.4291,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,923674.33,67.54,13.03,0.3247,0.2313,1.4039,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.1997,0.1341,1.4895,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2134,0.1578,1.3523,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2241,0.153,1.4646,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2241,0.1599,1.4019,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2369,0.166,1.4271,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2439,0.1672,1.4591,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2444,0.1667,1.4664,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2513,0.1738,1.4454,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2656,0.1799,1.4758,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2833,0.1892,1.4979,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.2977,0.2083,1.4291,11.44,19.94
ABB,Abbott India Ltd,34.9,46.0,1020674.09,62.63,6.67,0.3247,0.2313,1.4039,11.44,19.94
