company_id,company_name,broad_sector,return_on_equity_pct,operating_profit_margin_pct,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,debt_to_equity,composite_quality_score,return_on_equity_pct_rank,operating_profit_margin_pct_rank,revenue_cagr_5yr_rank,pat_cagr_5yr_rank,eps_cagr_5yr_rank,composite_quality_score_rank
JIOFIN,Jio Financial Services Ltd,Financials,1.15,84.04,,,,0.0,43.84,22,7,23,22,21,1
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,13.58,91.77,31.61,19.3,18.97,0.0012,41.12,17,5,1,16,12,2
SBIN,State Bank of India,Financials,,-13.73,11.63,83.41,90.37,,36.96,23,22,20,2,1,3
LICI,Life Insurance Corporation of India,Financials,49.45,3.87,8.16,73.18,,0.0,33.91,2,20,22,4,21,4
CANBK,Canara Bank,Financials,16.72,41.75,18.18,85.78,53.42,14.8674,33.66,9,11,10,1,4,5
BANKBARODA,Bank of Baroda,Financials,15.76,37.49,17.48,74.51,55.18,12.1437,30.92,11,13,11,3,2,6
ICICIBANK,ICICI Bank Ltd,Financials,17.99,62.41,17.25,51.95,55.18,6.4456,29.02,7,9,12,5,2,7
PNB,Punjab National Bank,Financials,61.32,,15.9,,,3.6843,28.54,1,23,14,22,21,8
BAJFINANCE,Bajaj Finance Ltd,Financials,18.84,29.29,24.35,29.32,27.56,3.8248,24.7,6,17,2,7,6,9
AXISBANK,Axis Bank Ltd,Financials,15.83,34.69,14.74,39.67,35.1,8.2491,23.24,10,16,16,6,5,10
BAJAJFINSV,Bajaj Finserv Ltd,Financials,25.85,37.04,20.97,23.75,20.59,4.7894,21.18,4,14,7,9,8,11
RECLTD,REC Ltd,Financials,20.4,100.77,13.34,19.76,19.67,6.4249,20.82,5,2,18,15,10,12
HDFCBANK,HDFC Bank Ltd,Financials,14.34,61.41,21.95,23.87,15.42,6.8088,20.81,14,10,4,8,14,13
PFC,Power Finance Corporation Ltd,Financials,26.16,36.69,11.08,15.92,14.87,8.5219,20.52,3,15,21,17,15,14
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,17.46,28.1,21.94,23.36,22.28,6.8634,20.15,8,19,5,11,7,15
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,14.01,83.67,13.52,20.38,19.34,4.0037,20.08,16,8,17,14,11,16
IRFC,Indian Railway Finance Corporation Ltd,Financials,13.04,99.5,19.07,23.25,20.11,8.3784,19.85,18,3,8,12,9,17
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,15.12,28.92,18.56,23.49,14.29,3.994,19.37,13,18,9,10,16,18
INDUSINDBK,IndusInd Bank Ltd,Financials,14.25,38.55,15.5,22.08,15.9,6.8857,17.85,15,12,15,13,13,19
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,15.72,87.42,12.91,12.84,11.14,0.0029,12.71,12,6,19,18,17,20
SBILIFE,SBI Life Insurance Company Ltd,Financials,12.7,0.19,24.23,7.37,7.89,0.0,11.43,19,21,3,19,18,21
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,10.73,99.48,21.17,4.25,3.13,0.0648,9.43,20,4,6,20,19,22
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,7.73,102.03,16.85,-5.66,-5.59,0.109,6.38,21,1,13,21,20,23
