company_name,roe_percentage,roce_percentage
Abbott India Ltd,34.9,46.0
Adani Energy Solutions Ltd,8.59,9.0
Adani Enterprises Ltd,13.64,11.6
Adani Green Energy Ltd,14.7,96.5
"Adani Ports & Special Economic Zone Ltd
",18.1,12.9
Adani Power Ltd,57.1,32.2
Ambuja Cements Ltd,9.24,12.8
"Apollo Hospitals
Chain of Indian private hospitals",13.81,17.2
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",31.45,41.75
Adani Total Gas Ltd,20.5,21.2
Axis Bank Ltd,18.4,7.06
Bajaj Auto Ltd,26.5,33.5
Bajaj Finserv Ltd,11.72,21.14
Bajaj Holdings & Investment Ltd,14.8,13.1
Bajaj Finance Ltd,22.1,11.9
Bank of Baroda,16.7,6.33
Bharat Electronics Ltd,26.3,34.6
Bharti Airtel Ltd,14.9,13.1
"Bharat Heavy Electricals Limited
",1.05,3.28
Bosch Ltd,16.0,20.6
Bharat Petroleum Corporation Ltd,41.9,32.1
Britannia Industries Ltd,57.1,48.9
Canara Bank,17.9,6.63
Cholamandalam Investment & Finance Company Ltd,20.2,10.4
"Cipla Ltd
",16.8,22.8
Coal India Ltd,52.0,63.6
Dabur India Ltd,19.2,22.3
Divis Laboratories Ltd,12.2,16.5
DLF Ltd,6.95,5.74
Avenue Supermarts Ltd,14.5,19.4
Dr Reddys Laboratories Ltd,21.4,26.5
Eicher Motors Ltd,24.2,31.1
GAIL (India) Ltd,14.0,14.7
Godrej Consumer Products Ltd,6.77,26.49
Grasim Industries Ltd,6.9,9.3
Hindustan Aeronautics Ltd,28.9,38.9
Havells India Ltd,18.0,24.4
HCL Technologies Ltd,23.3,29.6
HDFC Bank Ltd,17.1,7.67
HDFC Life Insurance Company Ltd,11.4,6.61
"Hero MotoCorp Ltd
",22.0,29.1
Hindalco Industries Ltd,10.2,11.3
"Hindustan Unilever Ltd
",20.2,27.2
ICICI Bank Ltd,18.8,7.6
ICICI Lombard General Insurance Company Ltd,17.0,22.5
ICICI Prudential Life Insurance Company Ltd,8.07,8.75
Interglobe Aviation Ltd,,24.5
IndusInd Bank Ltd,15.2,7.93
Infosys Ltd,31.8,40.0
"Indian Oil Corporation
",25.44,21.31
Indian Railway Catering & Tourism Corporation Ltd,40.4,53.8
Indian Railway Finance Corporation Ltd,13.7,5.73
"ITC Ltd
",29.47,34.76
Jindal Steel & Power Ltd,14.1,13.2
Jio Financial Services Ltd,1.82,2.16
JSW Energy Ltd,8.4,8.59
JSW Steel Ltd,11.66,13.36
"Kotak Mahindra Bank Ltd
",15.1,7.86
Life Insurance Corporation of India,63.61,63.79
Macrotech Developers Ltd,10.7,11.1
Larsen & Toubro Ltd,10.49,17.18
LTIMindtree Ltd,26.04,34.1
"Mahindra & Mahindra Ltd
",17.99,26.98
Maruti Suzuki India Ltd,15.75,23.67
Samvardhana Motherson International Ltd,11.8,13.7
Info Edge (India) Ltd,2.44,3.65
Nestle India Ltd,135.61,185.43
"NHPC Ltd
",9.61,7.67
NTPC Ltd,12.52,10.58
Oil & Natural Gas Corpn Ltd,14.32,19.71
Power Finance Corporation Ltd,19.49,9.96
Pidilite Industries Ltd,22.8,29.7
Punjab National Bank,8.7,1.63
Power Grid Corporation of India Ltd,19.0,13.2
REC Ltd,22.2,10.0
"Reliance Industries Ltd
",9.25,9.61
SBI Life Insurance Company Ltd,12.0,13.2
State Bank of India,17.3,6.16
Shree Cement Ltd,12.2,14.8
"Shriram Finance Ltd
",15.9,11.3
Siemens Ltd,19.1,25.6
Sun Pharmaceuticals Industries Ltd,16.7,17.3
Tata Consumer Products Ltd,8.32,10.6
Tata Motors Ltd,49.4,20.1
"Tata Power Company Ltd
",11.3,11.1
"Tata Steel Ltd
",6.55,7.02
Tata Consultancy Services Ltd,0.52,64.3
Tech Mahindra Ltd,8.63,11.9
"Titan Company Ltd
",32.9,22.7
Torrent Pharmaceuticals Ltd,24.2,23.2
Trent Ltd,27.2,23.8
TVS Motor Company Ltd,,
